Num of Factors,Eigen Value
1,4.8493343348215
2,1.9195907037435054
3,0.9287604645125923
4,0.8283355672245725
5,0.42259809380293095
6,0.41253715433247806
7,0.23449247693164796
8,0.1766477366481516
9,0.16957821180525853
10,0.058125256177361015
