State,Illiterate population (%),Deprived_Cooking_Fuel (%),Deprived_Sanitisation (%),Deprived_Drinking_Water (%),Deprived_Electricity (%),Deprived_House (%),Deprived_Assets (%),Infant Mortality Rate (%),Attendance Ratio,Adults BMI Below Normal,Orignal_Illiterate population (%),Orignal_Deprived_Cooking_Fuel (%),Orignal_Deprived_Sanitisation (%),Orignal_Deprived_Drinking_Water (%),Orignal_Deprived_Electricity (%),Orignal_Deprived_House (%),Orignal_Deprived_Assets (%),Orignal_Infant Mortality Rate (%),Orignal_Attendance Ratio,Orignal_Adults BMI Below Normal,Contribution_Illiterate population (%),Contribution_Deprived_Cooking_Fuel (%),Contribution_Deprived_Sanitisation (%),Contribution_Deprived_Drinking_Water (%),Contribution_Deprived_Electricity (%),Contribution_Deprived_House (%),Contribution_Deprived_Assets (%),Contribution_Infant Mortality Rate (%),Contribution_Attendance Ratio,Contribution_Adults BMI Below Normal,MPI Index,Pct_Illiterate population (%),Pct_Deprived_Cooking_Fuel (%),Pct_Deprived_Sanitisation (%),Pct_Deprived_Drinking_Water (%),Pct_Deprived_Electricity (%),Pct_Deprived_House (%),Pct_Deprived_Assets (%),Pct_Infant Mortality Rate (%),Pct_Attendance Ratio,Pct_Adults BMI Below Normal
Arunachal Pradesh,0.8543458780783764,0.7628939335132378,0.6838740642495408,0.012396219944107261,0.7144584447060651,1.0,0.8451268847495998,0.33333333333333326,0.059694364851957754,0.1857142857142857,44.64189829352177,69.43703318629737,56.46410360301819,0.028008059372439997,84.28868485631503,47.17102295748698,30.67649284824201,16.7,70.07777777777777,6.0,0.14239097967972938,0.042382996306290985,0.03799300356941893,0.0006886788857837367,0.039692135817003614,0.05555555555555555,0.04695149359719999,0.05555555555555554,0.009949060808659625,0.030952380952380946,0.4621118407275783,30.81309915269428,9.17158847078242,8.221603564539773,0.1490286171199242,8.589292097451947,12.02210172067553,10.160201375337312,12.022101720675526,2.152955179204062,6.698028101519222
Assam,0.6738377842070388,0.9133885515386573,0.759524269626988,0.25306407962158456,0.9539086257812724,0.43130116093058185,0.628333312949101,0.48484848484848475,0.3319006685768857,0.6571428571428573,38.543108449592474,82.27642265382804,62.09080922241701,0.555671857358,95.76002854337791,21.45994896954603,23.5549947034023,22.7,76.4111111111111,12.6,0.11230629736783979,0.05074380841881429,0.04219579275705489,0.014059115534532474,0.052994923654515136,0.023961175607254546,0.03490740627495005,0.08080808080808079,0.055316778096147615,0.10952380952380954,0.5768171880429991,19.469998414726135,8.797208105218871,7.3152800630326205,2.4373607142726876,9.187473042250017,4.154032872797881,6.051727826173561,14.009305284789281,9.590001692533475,18.98761198420548
Bihar,1.0,1.0,0.9696230588447066,0.48542138522817146,0.9235320821101731,0.659356085531051,0.6904150084938475,1.0,0.027698185291307673,0.8857142857142858,49.56308415533254,89.66564449931825,77.71752209149601,1.06511478226858,94.3047789757578,31.770392101998468,25.5943295230586,43.1,69.33333333333331,15.8,0.16666666666666666,0.05555555555555555,0.05386794771359481,0.026967854734898412,0.051307337895009617,0.03663089364061394,0.0383563893607693,0.16666666666666666,0.004616364215217945,0.14761904761904762,0.7482547240680406,22.27405471769681,7.424684905898937,7.199145689415849,3.604100831904158,6.85693471015682,4.8955111758550025,5.1261138923703555,22.27405471769681,0.616950894759492,19.728448464245748
Chhattisgarh,0.7108400089189642,0.9091789345209238,0.8933517073070599,0.3328416408313047,0.0,0.19837298225169142,0.7359106358664289,0.5732323232323232,0.15759312320916885,0.7250000000000001,39.79329500597333,81.91728082464516,72.04461690697211,0.73058399975358,50.0611126216817,10.92918431089292,27.08882506202371,26.200000000000003,72.35555555555555,13.55,0.11847333481982736,0.05050994080671799,0.049630650405947774,0.018491202268405813,0.0,0.011020721236205079,0.0408839242148016,0.09553872053872053,0.026265520534861475,0.12083333333333335,0.531647348158821,22.284195572519884,9.500647559259331,9.335257775257713,3.47809545790904,0.0,2.072938250208824,7.690045733584322,17.970318270106354,4.940402811341603,22.72809856981293
Delhi,0.24711447596417227,0.0,0.06808493072258139,0.04628157545340364,0.835821396825082,0.0,0.0,0.5227272727272727,0.4379178605539638,0.4464285714285714,24.12549579486847,4.35103567149962,10.66298302848223,0.10230163313043,90.10282176104567,1.96067220310021,2.91474008078938,24.2,78.87777777777778,9.649999999999999,0.04118574599402871,0.0,0.0037824961512545213,0.002571198636300202,0.04643452204583789,0.0,0.0,0.08712121212121211,0.0729863100923273,0.07440476190476189,0.3284862469457226,12.538042726895059,0.0,1.1514930035653888,0.7827416399338795,14.135910552599329,0.0,0.0,26.522027308987333,22.218985047610587,22.650799720408433
Gujarat,0.48045434735660586,0.5651452748308704,0.5012751708285519,0.33775335916303256,0.3349887641054686,0.0013195434872225872,0.48142676130609646,0.5202020202020202,0.23829990448901606,0.942857142857143,32.00930204040055,52.56618372458538,42.882776036468314,0.74135293231079,66.1094247469973,2.02032922699321,18.72923014635537,24.1,74.23333333333333,16.6,0.0800757245594343,0.031396959712826134,0.027848620601586216,0.018764075509057364,0.018610486894748254,7.330797151236595e-05,0.026745931183672023,0.0867003367003367,0.03971665074816934,0.15714285714285714,0.48707495102419984,16.440123720395512,6.446022249102727,5.7175226406177035,3.852400019668654,3.8208671695423746,0.015050655213990611,5.491132551044116,17.800204366499866,8.15411481634498,32.26256181157007
Haryana,0.5548985657170161,0.5986582948210118,0.3838881887764805,0.10798332501394904,0.5257620497628529,0.4465701873559176,0.19626906391476104,0.6338383838383838,0.48328557784145176,0.7000000000000001,34.52453353577793,55.42533391568316,34.15177539660005,0.23758259486376002,75.24880362012804,22.15026700991346,9.36202430121192,28.6,79.93333333333334,13.200000000000001,0.09248309428616935,0.03325879415672288,0.02132712159869336,0.005999073611886057,0.029209002764602938,0.02480945485310653,0.010903836884153391,0.10563973063973062,0.08054759630690862,0.11666666666666667,0.5208443717686404,17.756377777899928,6.385553143981455,4.0947205642776705,1.1517977225164011,5.60800967579191,4.763314379084222,2.0934923127088885,20.282398421818005,15.464810732885859,22.399525269035664
Himachal Pradesh,0.31987118106168405,0.6176000165394144,0.3790703025381905,0.02771339216891084,0.4112615002721106,0.05892684794077629,0.18080479060883525,0.595959595959596,0.6867239732569246,0.7285714285714286,26.583711626690082,57.04133949461407,33.79343099508317,0.06159092864867,69.7634239487996,4.62477566735312,8.85403509865019,27.1,84.66666666666667,13.600000000000001,0.05331186351028067,0.034311112029967464,0.021059461252121693,0.0015396328982728244,0.022847861126228365,0.0032737137744875714,0.010044710589379736,0.09932659932659933,0.11445399554282076,0.12142857142857144,0.48159752147872986,11.069796070915876,7.124437003873336,4.3728342262765985,0.3196928616960965,4.744181626199971,0.6797613418847626,2.0857064543309467,20.62440002216377,23.765486830454073,25.21370356220457
Jharkhand,0.8483826250924146,0.9870371486392531,1.0,0.35449648491927965,0.518161871357467,0.2110275175675639,0.5511233805080948,0.4722222222222222,0.3089780324737354,0.8071428571428572,44.44041909130113,88.55972390618297,79.97689607000463,0.7780622018349,74.88470175067157,11.50130029115729,21.01870921266913,22.2,75.8777777777778,14.7,0.14139710418206908,0.054835397146625164,0.05555555555555555,0.019694249162182202,0.02878677063097039,0.011723750975975772,0.030617965583783047,0.07870370370370369,0.051496338745622566,0.13452380952380952,0.6073346452102969,23.281580475803196,9.02886037855419,9.14743724793088,3.242734350411186,4.739853202512863,1.9303609745359223,5.04136653906533,12.958869434568745,8.479071489127932,22.149865907489772
Karnataka,0.5236570748536132,0.8193717087653429,0.6896482164984321,0.24714203733195358,0.04265668995025816,0.26024305240956935,0.34515391826269787,0.452020202020202,0.1136580706781277,0.6285714285714286,33.46898370917159,74.25541248939618,56.89357309016629,0.54268779155642,52.10466735517427,13.7263518839291,14.252774544532201,21.4,71.33333333333333,12.2,0.08727617914226887,0.04552065048696349,0.03831378980546845,0.013730113185108531,0.0023698161083476753,0.014457947356087186,0.01917521768126099,0.07533670033670033,0.01894301177968795,0.10476190476190475,0.4198853306437982,20.785717616867156,10.84121000778188,9.124822185791299,3.269967341811285,0.5643960232461811,3.4433085180468743,4.566774850614613,17.942208226514776,4.511472632454954,24.950122596870987
Kerala,0.0,0.6854722990999828,0.0,0.14249687881658346,0.9845582370997733,0.03067400717571894,0.058278683201342614,0.0,0.748806112702961,0.35000000000000003,15.77628981758729,62.83183673152013,5.59896687172854,0.31325349211561,97.22835996718663,3.34745482655704,4.82914893920327,3.5000000000000004,86.11111111111111,8.3,0.0,0.03808179439444349,0.0,0.00791649326758797,0.054697679838876294,0.0017041115097621632,0.003237704622296812,0.0,0.12480101878382684,0.058333333333333334,0.2887721357501269,0.0,13.187489262258834,0.0,2.741432530193312,18.941467360343218,0.5901232490231406,1.1211970344321525,0.0,43.21781894213524,20.200471621614103
Madhya Pradesh,0.746430223223046,0.883428073750039,0.8918774142653177,1.0,0.21642315679428314,0.18241377491273728,0.903906748611186,0.7676767676767675,0.06924546322827158,1.0,40.99577425710162,79.7203562109975,71.93496204349589,2.1933273595380403,60.429300285096154,10.20766294933682,32.60736509674866,33.9,70.30000000000001,17.4,0.124405037203841,0.049079337430557715,0.049548745236962094,0.05555555555555555,0.012023508710793508,0.010134098606263181,0.05021704158951033,0.12794612794612792,0.011540910538045263,0.16666666666666666,0.6571170294843232,18.931945395094793,7.4688883758001285,7.540322806098297,8.454438564642455,1.8297362830832482,1.5422060533442545,7.642024074298985,19.470828209479592,1.756294544230891,25.363315693927365
Maharashtra,0.3448075019980651,0.5540825950571308,0.5567423981632231,0.5725885957674131,0.39643119491712797,0.11986057137760119,0.4887670356457401,0.4823232323232323,0.4016236867239737,0.8678571428571429,27.4262299737076,51.62237552710136,47.00831354399118,1.25622871594706,69.052948270948,7.379610676702771,18.97035237916996,22.6,78.03333333333335,15.55,0.057467916999677515,0.030782366392062818,0.030930133231290173,0.03181047754263406,0.022023955273173777,0.0066589206320889546,0.027153724202541113,0.08038720538720538,0.06693728112066227,0.14464285714285713,0.49879483792419316,11.521353596769076,6.171348228094758,6.200973001246443,6.377467271918443,4.415433681076102,1.3350019137730085,5.443866322984669,16.116286552152054,13.419802297720532,28.99846713426492
Manipur,0.5148609368136491,0.7849261006307865,0.3930951908753008,0.04630353409645175,0.9167704917888608,0.33186595168604943,0.5200974337416331,0.21969696969696967,0.5725883476599815,0.24642857142857139,33.1717904022489,71.31669890556017,34.83657314683449,0.10234977741112,93.98085135917133,16.96444828226488,19.99953128915311,12.2,82.01111111111112,6.849999999999999,0.08581015613560818,0.04360700559059925,0.02183862171529449,0.0025724185609139858,0.05093169398827004,0.018436997315891632,0.02889430187453517,0.03661616161616161,0.09543139127666357,0.041071428571428564,0.4252101766453664,20.18064497246864,10.255400266905735,5.135959324301009,0.6049757748529695,11.978004475360445,4.335972732672494,6.795298763188724,8.61130886025341,22.443346024677865,9.659088805318726
Meghalaya,0.7120980762970591,0.8956226843894691,0.617231582643153,0.029279473535873173,0.7617274454073962,0.3000193676586664,1.0,0.5025252525252525,0.4097421203438397,0.4285714285714285,39.83580106974005,80.76073464750804,51.50737382450087,0.06502455889391,86.55320163535508,15.524653048057841,35.76395274745076,23.4,78.22222222222223,9.399999999999999,0.11868301271617651,0.04975681579941495,0.034290643480175166,0.0016266374186596206,0.04231819141152201,0.01666774264770369,0.05555555555555555,0.08375420875420875,0.06829035339063995,0.07142857142857141,0.5423717326026276,21.882226816405723,9.173932343533401,6.322350782484167,0.2999119092829618,7.802433067161102,3.0731215595845636,10.243077250535606,15.442214945883224,12.59106057444062,13.169670750688633
Mizoram,0.20482978894393683,0.47948885024297183,0.2457359302586878,0.010723061895075275,1.0,0.35757395282754545,0.48860061334492955,0.4318181818181818,0.1762177650429801,0.0,22.69683177087985,45.258439367279266,23.87629649398173,0.02433966371726,97.96812875152095,18.12671603106609,18.96488553761816,20.6,72.78888888888889,3.4000000000000004,0.034138298157322805,0.026638269457942877,0.013651996125482655,0.0005957256608375152,0.05555555555555555,0.0198652196015303,0.02714447851916275,0.07196969696969696,0.02936962750716335,0.0,0.2789288675546948,12.239069572326954,9.550201702489403,4.894436436488831,0.21357619455458482,19.917463560727263,7.121966175707846,9.731684912046626,25.80216870366941,10.529432741989064,0.0
Nagaland,0.4845881290020007,0.8732193076251829,0.472238159557708,0.025285717034584827,0.7351083838019001,0.3835740366767563,0.8947805577703007,0.34090909090909094,0.33715377268385904,0.4357142857142858,32.14896927069065,78.84939932244072,40.72306326803595,0.056268255802489994,85.2779618216594,19.302188941532382,32.30757691297988,17.0,76.53333333333335,9.5,0.08076468816700011,0.048512183756954604,0.026235453308761553,0.0014047620574769348,0.04083935465566112,0.021309668704264238,0.049710030987238925,0.05681818181818182,0.05619229544730984,0.07261904761904762,0.45440566652189684,17.773697406810008,10.675963644616415,5.77357529662261,0.3091427244359072,8.987421958940988,4.6895693153151665,10.939571103443427,12.503845353223358,12.366107992758064,15.981105203834044
Odisha,0.6070579479658854,0.9518750689250217,0.9879368748631421,0.7214863058431502,0.5265234963940576,0.7037628083559759,0.6870718138129327,0.6994949494949495,0.09694364851957972,0.5964285714285714,36.286831856604316,85.55988482979073,79.07966580266546,1.58268664562328,75.28528225617119,33.77803561676616,25.48450820999918,31.2,70.94444444444444,11.75,0.10117632466098089,0.05288194827361231,0.05488538193684123,0.04008257254684167,0.02925130535522542,0.03909793379755422,0.038170656322940706,0.11658249158249158,0.016157274753263284,0.0994047619047619,0.5876906511345132,17.21591528904944,8.998262635542327,9.339161994645856,6.8203522498552385,4.977330386106526,6.65280853491156,6.495025273799028,19.83739087178497,2.7492822494406393,16.91447051486441
